datetime,MsgNumber,StateAfter
2025-05-23 20:34:47,2803,0
2025-05-23 20:34:47,2803,1
2025-05-23 20:34:49,2803,0
2025-05-23 20:34:49,2803,1
2025-05-23 20:34:55,2803,0
2025-05-23 20:34:55,2803,1
2025-05-23 20:34:57,2803,0
2025-05-23 20:34:57,2803,1
2025-05-23 20:35:01,2803,0
2025-05-23 20:35:01,2803,1
2025-05-23 20:35:05,2803,0
2025-05-23 20:35:06,2803,1
2025-05-23 20:35:08,2803,0
2025-05-23 20:35:08,2803,1
2025-05-23 20:35:10,2803,0
2025-05-23 20:35:10,2803,1
2025-05-23 20:35:12,2803,0
2025-05-23 20:35:12,2803,1
2025-05-23 20:35:20,2803,0
2025-05-23 20:35:20,2803,1
2025-05-23 20:35:22,2803,0
2025-05-23 20:35:22,2803,1
2025-05-23 20:35:24,2803,0
2025-05-23 20:35:24,2803,1
2025-05-23 20:35:28,2803,0
2025-05-23 20:35:29,2803,1
2025-05-23 20:35:31,2803,0
2025-05-23 20:35:31,2803,1
2025-05-23 20:35:33,2803,0
2025-05-23 20:35:33,2803,1
2025-05-23 20:35:37,2803,0
2025-05-23 20:35:37,2803,1
2025-05-23 20:35:39,2803,0
2025-05-23 20:35:39,2803,1
2025-05-23 20:35:43,2803,0
2025-05-23 20:35:43,2803,1
2025-05-23 20:35:49,2803,0
2025-05-23 20:35:49,2803,1
2025-05-23 20:35:53,2803,0
2025-05-23 20:35:53,2803,1
2025-05-23 20:36:05,2803,0
2025-05-23 20:36:06,2803,1
2025-05-23 20:36:08,2803,0
2025-05-23 20:36:08,2803,1
2025-05-23 20:36:14,2803,0
2025-05-23 20:36:14,2803,1
2025-05-23 20:36:16,2803,0
2025-05-23 20:36:16,2803,1
2025-05-23 20:36:26,2803,0
2025-05-23 20:36:26,2803,1
2025-05-23 20:36:30,2803,0
2025-05-23 20:36:30,2803,1
2025-05-23 20:36:32,2803,0
2025-05-23 20:36:32,2803,1
2025-05-23 20:36:36,2803,0
2025-05-23 20:36:36,2803,1
2025-05-23 20:36:42,2803,0
2025-05-23 20:36:42,2803,1
2025-05-23 20:36:48,2803,0
2025-05-23 20:36:49,2803,1
2025-05-23 20:36:53,2803,0
2025-05-23 20:36:53,2803,1
