SeqNo,Date,UTC Time,datetime,[°C*10] LCC_CABINET_TEMP,[°C*10] LCC_CABINET_HUM,[%] LCC_UPS_BATT_LVL,[bar] HPU_SYSTEM_PRESSURE,[°C*10] HPU_OIL_TEMPERATURE,[rpm] HPU_MOTOR_SPEED,[W] HPU_MOTOR_POWER,[V] BATTERIES_VOLTAGE,[A*10] BATTERIES_CURRENT,[kWh] BATTERIES_CAPACITY,[%] BATTERIES_SOC,[A*10] CHARGER_CURRENT,FRONT_LINKS_UL_POS,FRONT_LINKS_UL_SPEED,FRONT_LINKS_UL_VALVE,FRONT_LINKS_UR_POS,FRONT_LINKS_UR_SPEED,FRONT_LINKS_UR_VALVE,FRONT_LINKS_LL_POS,FRONT_LINKS_LL_SPEED,FRONT_LINKS_LL_VALVE,FRONT_LINKS_LR_POS,FRONT_LINKS_LR_SPEED,FRONT_LINKS_LR_VALVE,[°*10] TUGGER ROTATION,[°/s*100] TUGGER ROTATION SPEED,[bar] TUGGER PRESSURE A,[bar] TUGGER PRESSURE B,[bar] TUGGER PRESSURE BRAKE,[%] TUGGER VALVE,[mm] COG LEFT POSITION,[mm*100] COG LEFT SPEED,[bar] COG LEFT BOTTOMSIDE PRESSURE,[bar] COG LEFT RODSIDE PRESSURE,[mm] COG RIGHT POSITION,[mm*100] COG RIGHT SPEED,[bar] COG RIGHT BOTTOMSIDE PRESSURE,[bar] COG RIGHT RODSIDE PRESSURE,[%] COG VALVE FEEDBACK
126025,2025-09-28,19:40:00.766,2025-09-28 19:40:00.766,224,521,100,0,239,0,0,734,122,105,99,147,523.055,0.1013951,0.3833912,522.635,0.1009289,1.034433,577.205,0.0,-0.1519097,577.13,0.0,0.1302083,0,0,0,0,0,0,31,0,25,37,31,0,24,36,1
126026,2025-09-28,19:40:01.280,2025-09-28 19:40:01.280,224,521,100,0,239,0,0,734,122,105,99,147,523.055,0.0,0.4340278,522.635,-0.1004681,0.9548611,577.205,0.09692837,-0.007233796,577.135,0.09283805,0.1953125,0,0,0,0,0,0,31,0,25,37,31,0,24,36,1
126027,2025-09-28,19:40:01.827,2025-09-28 19:40:01.827,224,521,100,0,239,0,0,735,122,105,99,147,523.055,0.0,0.3978588,522.635,-0.1000113,1.034433,577.205,-0.09911153,-0.1157407,577.135,0.1000119,0.1446759,0,0,0,0,0,0,31,-10,25,37,31,0,24,36,1
126028,2025-09-28,19:40:02.339,2025-09-28 19:40:02.339,224,521,100,0,239,0,0,734,122,105,99,147,523.055,0.0,1.309317,522.635,0.0,1.121238,577.21,0.0,-0.01446759,577.13,0.0,0.2459491,0,0,0,0,0,0,31,-10,25,37,31,0,24,36,1
126029,2025-09-28,19:40:02.850,2025-09-28 19:40:02.850,224,521,100,0,239,0,0,735,122,105,99,147,523.055,0.0,0.354456,522.63,-0.1009289,1.034433,577.205,-0.1000125,-0.1302083,577.13,0.0,0.1012731,0,0,0,0,0,0,31,0,25,37,31,0,24,36,1
126030,2025-09-28,19:40:03.363,2025-09-28 19:40:03.363,224,521,100,0,239,0,0,734,122,105,99,147,523.055,0.0,0.462963,522.635,0.0,0.9548611,577.21,0.0,0.0,577.13,0.0,0.1591435,0,0,0,0,0,0,31,0,25,37,31,0,24,36,1
126031,2025-09-28,19:40:03.875,2025-09-28 19:40:03.875,224,521,100,0,239,0,0,735,122,105,99,147,523.055,0.0,0.3761574,522.635,0.0,1.034433,577.205,0.0,-0.1446759,577.135,0.09402832,0.1157407,0,0,0,0,0,0,31,-10,25,37,31,0,24,36,1
126032,2025-09-28,19:40:04.388,2025-09-28 19:40:04.388,224,521,100,0,239,0,0,735,122,105,99,147,523.055,0.1009298,0.4701968,522.635,-0.100468,0.9548611,577.205,0.0,-0.02170139,577.13,0.09955939,0.2965856,0,0,0,0,0,0,31,-10,25,37,31,0,24,36,1
126033,2025-09-28,19:40:04.900,2025-09-28 19:40:04.900,224,521,100,0,239,0,0,735,122,105,99,147,523.055,0.0,1.273148,522.63,0.0,1.164641,577.205,0.0,-0.1446759,577.13,-0.1089239,0.07233796,0,0,0,0,0,0,31,10,25,37,31,0,24,36,1
126034,2025-09-28,19:40:05.416,2025-09-28 19:40:05.416,224,521,100,0,239,0,0,735,122,105,99,147,523.055,-0.09017501,0.4340278,522.63,0.0,0.9548611,577.21,0.0,-0.01446759,577.13,0.0,0.2097801,0,0,0,0,0,0,31,0,25,37,31,0,24,36,1
